brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,turbo,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,price,avg_mpg,car_age,reliability_rating
Nissan,Titan XD PRO-4X,2019,20470,5.0L V8 32V DDI DOHC Turbo Diesel,5,6-Speed Automatic,1,Diesel,Four-wheel Drive,20,27,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,44999,23.5,6,
Mazda,CX-9 Grand Touring,2020,64197,2.5L I4 16V GDI DOHC Turbo,2.5,6-Speed Automatic,1,Gasoline,Front-wheel Drive,24,30,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,28836,27,5,72
Honda,Pilot EX-L,2012,150842,3.5L V6 24V MPFI SOHC,3.5,5-Speed Automatic,1,Gasoline,Front-wheel Drive,18,25,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,11999,21.5,13,80
MINI,Countryman Cooper S ALL4,2021,14207,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,27,34,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,31992,30.5,4,84
Hyundai,Accent GS,2015,76763,1.6L I4 16V GDI DOHC,1.6,6-Speed Automatic,1,Gasoline,Front-wheel Drive,25,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12995,26.5,10,
Volkswagen,CC VR6 Executive,2011,80637,3.6L V6 24V GDI DOHC,3.6,6-Speed Automatic,1,Gasoline,Four-wheel Drive,22,29,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,12300,25.5,14,77
Jeep,Wrangler Unlimited Rubicon,2021,36433,3.6L V6 24V MPFI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,21,28,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,47288,24.5,4,74
Ford,F-150 XLT,2016,49231,3.5L V6 24V GDI DOHC Twin Turbo,3.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32900,24.42130239915634,9,81
Mazda,RX-8 40th Anniversary Edition,2008,33803,1.3L Rotary MPFI OHV,1.3,6-Speed Manual,0,Gasoline,Rear-wheel Drive,24,30,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,16999,27,17,
Toyota,Camry SE,2021,17793,2.5L I4 16V PDI DOHC,2.5,8-Speed Automatic,1,Gasoline,Front-wheel Drive,28,39,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,26988,33.5,4,85
Kia,Rio S,2021,60942,1.6L I4 16V MPFI DOHC,1.6,Automatic CVT,1,Gasoline,Front-wheel Drive,27,37,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,15990,32,4,
Alfa,Romeo Giulia Base,2022,18898,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,22,28,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,35374,25,3,
Audi,Q7 55 Prestige,2020,42253,3.0L V6 24V GDI DOHC Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,17,21,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,49991,19,5,
Kia,Forte GT,2023,11445,1.6L I4 16V GDI DOHC Turbo,1.6,Manual,0,Gasoline,Front-wheel Drive,20.92617980490377,27.91642499340891,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,26998,24.42130239915634,2,87
Nissan,Armada Platinum,2020,82987,5.6L V8 32V GDI DOHC,5.6,7-Speed Automatic,1,Gasoline,Four-wheel Drive,28,39,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,36631,33.5,5,
Maserati,Ghibli S Q4 GranSport,2019,31866,3.0L V6,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,13,20,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,46900,16.5,6,
MINI,Convertible Cooper,2021,12769,"1.5L I-3 gasoline direct injection, DOHC, variable valve control",1.5,Automatic,1,Gasoline,Front-wheel Drive,26,35,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,29800,30.5,4,
Nissan,Maxima 3.5 Platinum,2016,147066,"VQ 3.5L V-6 DOHC, variable valve control, engine with 300HP",3.5,Automatic,1,Gasoline,Front-wheel Drive,15,21,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,13900,18,9,81
Chevrolet,Suburban Premier,2019,46247,5.3L V8 16V GDI OHV,5.3,6-Speed Automatic,1,Gasoline,Four-wheel Drive,14,21,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,54250,17.5,6,78
Ford,Explorer XLT,2020,31425,2.3L I4 16V GDI DOHC Turbo,2.3,10-Speed Automatic,1,Gasoline,Four-wheel Drive,20,27,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,34999,23.5,5,60
Maserati,Ghibli S Q4,2015,99340,3.0L V6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,16,23,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,21395,19.5,10,
MINI,Countryman Cooper,2016,59861,1.6L I4 16V MPFI DOHC,1.6,6-Speed Automatic,1,Gasoline,Front-wheel Drive,20.92617980490377,27.91642499340891,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,16998,24.42130239915634,9,
Chevrolet,Colorado ZR2,2020,30659,2.8L I4 16V DDI DOHC Turbo Diesel,2.8,Automatic,1,Diesel,Four-wheel Drive,16,18,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,41500,17,5,81
Toyota,Sienna XLE,2014,106417,"3.5L V-6 DOHC, variable valve control, engine with 266HP",3.5,Automatic,1,Gasoline,Front-wheel Drive,18,25,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,18495,21.5,11,81
Jeep,Grand Cherokee Laredo,2017,61255,3.6L V6 24V MPFI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,17,22,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,24683,19.5,8,
Lexus,RX 350 350,2023,2731,2.4L I4 16V PDI DOHC Turbo,2.4,8-Speed Automatic,1,Gasoline,Front-wheel Drive,18,24,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,53990,21,2,81
Maserati,GranTurismo Sport,2013,29216,4.7L V8 32V MPFI DOHC,4.7,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,15,25,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,43995,20,12,
